,name,country,eu_group,national_group,twitter,facebook,instagram,linkedin,email,Website,website,e-mail
124760,Nicolas Bay,France,Identity and Democracy Group,Rassemblement national,NicolasBay_,NicolasBayFN,,,nicolas.bay@europarl.europa.eu,,,
132191,Gunnar Beck,Germany,Identity and Democracy Group,Alternative für Deutschland,,,,,gunnar.beck@europarl.europa.eu,,,
197437,Nicola Beer,Germany,Renew Europe Group,Freie Demokratische Partei,,,,,,,,
124777,Tiziana Beghin,Italy,Non-attached Members,Movimento 5 Stelle,beghin_t,tizianabeghineuropa,,,tiziana.beghin@europarl.europa.eu,https://www.tizianabeghin.eu,,
197680,Aurélia Beigneux,France,Identity and Democracy Group,Rassemblement national,aureliabeigneux,abeigneux,aurelia_beigneux,,aurelia.beigneux@europarl.europa.eu,,,
197496,Marek Belka,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sojusz Lewicy Demokratycznej,,,,,marek.belka@europarl.europa.eu,,,
197534,François-Xavier Bellamy,France,Group of the European People's Party (Christian Democrats),Les Républicains,fxbellamy,fx.bellamy,fxbellamy,,francois-xavier.bellamy@europarl.europa.eu,https://www.fxbellamy.fr/,,
197658,Adrian-Dragoş Benea,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,,dragosbenea,,,adrian-dragos.benea@europarl.europa.eu,,,
124867,Brando Benifei,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,,,,,,,,
197679,Isabel Benjumea Benjumea,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,IsabelBenjumea,,,twitter.comIsabelBenjumea,isabel.benjumea@europarl.europa.eu,,,
23868,Monika Beňová,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,SMER-Sociálna demokracia,,monikabenovaep,monicabenova,,monika.benova@europarl.europa.eu,,,
197408,Hildegard Bentele,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,,,,,,,,
197778,Tom Berendsen,Netherlands,Group of the European People's Party (Christian Democrats),Christen Democratisch Appèl,tbwberendsen,TomBerendsenCDA,berendsen_tom,,tom.berendsen@europarl.europa.eu,http://tomberendsen.eu/,,
197478,Lars Patrick Berg,Germany,Non-attached Members,Independent,larspatrickberg,larspatrickberg,,,larspatrick.berg@europarl.europa.eu,,,
197410,Stefan Berger,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,DrStefanBerger,StefanBergerEU,stefanberger_mdep,,stefan.berger@europarl.europa.eu,https://www.stefan-berger.de/,,
197396,Erik Bergkvist,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna,,Erik.Bergkvist.till.Europaparlamentet,,,erik.bergkvist@europarl.europa.eu,,,
4746,Sergio Berlato,Italy,European Conservatives and Reformists Group,Fratelli d'Italia,SERGIOBERLATO,SergioBerlato.paginaufficiale,,,sergio.berlato@europarl.europa.eu,,,
4391,Silvio Berlusconi,Italy,Group of the European People's Party (Christian Democrats),Forza Italia,berlusconi,SilvioBerlusconi,silvioberlusconi_official,,silvio.berlusconi@europarl.europa.eu,,,
197648,Alexander Bernhuber,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei,,alexbernhuber,alex_bernhuber,,alexander.bernhuber@europarl.europa.eu,https://www.alex-bernhuber.at/,,
197498,Robert Biedroń,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Wiosna,,,,,,,,
23788,Adam Bielan,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,,,,
197551,Stéphane Bijoux,France,Renew Europe Group,La République en marche,,,,,stephane.bijoux@europarl.europa.eu,,,
96922,Izaskun Bilbao Barandica,Spain,Renew Europe Group,Partido Nacionalista Vasco,,,,,,,,
197771,Vladimír Bilčík,Slovakia,Group of the European People's Party (Christian Democrats),SPOLU – občianska demokracia,vladobilcik,Bilcik.Vladimir,vladobilcik_spolu,,vladimir.bilcik@europarl.europa.eu,,,
124771,Dominique Bilde,France,Identity and Democracy Group,Rassemblement national,dominiquebilde,dominiquebilde,,,dominique.bilde@europarl.europa.eu,http://dominiquebilde.eu,,
197435,Gabriele Bischoff,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,,,,,gabriele.bischoff@europarl.europa.eu,,,
197512,Benoît Biteau,France,Group of the Greens/European Free Alliance,Europe Écologie,,,,,,,,
97198,Mara Bizzotto,Italy,Identity and Democracy Group,Lega,,marabizzotto,,,mara.bizzotto@europarl.europa.eu,http://www.marabizzotto.it,,
124992,Malin Björk,Sweden,The Left group in the European Parliament - GUE/NGL,Vänsterpartiet,MalinBjork_EU,,,,malin.bjork@europarl.europa.eu,,,
197637,Vasile Blaga,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,,,,,vasile.blaga@europarl.europa.eu,,,
197564,Hynek Blaško,Czechia,Identity and Democracy Group,Svoboda a přímá demokracie,,stranapravposts10155066925053207,,,hynek.blasko@europarl.europa.eu,,,
96681,Vilija Blinkevičiūtė,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lietuvos socialdemokratų partija,,,,,vilija.blinkeviciute@europarl.europa.eu,,,
197449,Michael Bloss,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,,,,,,,,
124712,Andrea Bocskor,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,AndreaBocskor,BocskorAndreaEP,bocskorandrea_ep,,andrea.bocskor@europarl.europa.eu,https://bocskor.fidesz-eu.hu/hu/,,
197439,Damian Boeselager,Germany,Group of the Greens/European Free Alliance,Volt,,,,,,,,
197636,Ioan-Rareş Bogdan,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,,Rares.I.Bogdan,rarbogdan,,ioan-rares.bogdan@europarl.europa.eu,,,
125004,Franc Bogovič,Slovenia,Group of the European People's Party (Christian Democrats),Slovenska ljudska stranka,,,,,,,,
197521,Manuel Bompard,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise,mbompard,mbompard,manuelbompard,,manuel.bompard@europarl.europa.eu,,,
124814,Simona Bonafè,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,simonabonafe,simona.bonafe.5,simona_bonafe,,simona.bonafe@europarl.europa.eu,http://www.simonabonafe.eu,,
197788,Anna Bonfrisco,Italy,Identity and Democracy Group,Lega,,,,,anna.bonfrisco@europarl.europa.eu,,,
101039,Paolo Borchia,Italy,Identity and Democracy Group,Lega,paoloborchia?lang=en,PaoloBorchiaofficial,paoloborchia,,paolo.borchia@europarl.europa.eu,,,
112748,Biljana Borzan,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socijaldemokratska partija Hrvatske,,,,,,,,
187917,Marc Botenga,Belgium,The Left group in the European Parliament - GUE/NGL,Parti du Travail de Belgique,botengam,botengam,botengam,,marc.botenga@europarl.europa.eu,,,
197668,Vlad-Marius Botoş,Romania,Renew Europe Group,Uniunea Salvați România,botos_vlad,VladMBotos,vladbotos.mep,,vlad-marius.botos@europarl.europa.eu,https://www.vladbotos.eu/,,
197467,Geert Bourgeois,Belgium,European Conservatives and Reformists Group,Nieuw-Vlaamse Alliantie,,,,,geert.bourgeois@europarl.europa.eu,,,
197577,Gilles Boyer,France,Renew Europe Group,Indépendant,gillesboyer,,,,gilles.boyer@europarl.europa.eu,,,
197431,Patrick Breyer,Germany,Group of the Greens/European Free Alliance,Piratenpartei Deutschland,,,,,,,,
197446,Milan Brglez,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialni demokrati,,,,,,,,
197470,Saskia Bricmont,Belgium,Group of the Greens/European Free Alliance,Ecologistes Confédérés pour l'Organisation de Luttes Originales,bricmontsaskia,bricmontsaskia,bricmontsaskia,,saskia.bricmont@europarl.europa.eu,http://saskiabricmont.eu,,
197501,Joachim Stanisław Brudziński,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,,,,
182995,Annika Bruna,France,Identity and Democracy Group,Rassemblement national,annikabrunaue,annikabrunaUE,,,annika.bruna@europarl.europa.eu,https://www.annikabruna.eu/,,
197576,Sylvie Brunet,France,Renew Europe Group,Mouvement Démocrate,,,,,,,,
128483,Markus Buchheit,Germany,Identity and Democracy Group,Alternative für Deutschland,,,,,markus.buchheit@europarl.europa.eu,,,
125012,Daniel Buda,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,MEPDanielBuda,MEPDanielBuda,,,daniel.buda@europarl.europa.eu,http://www.danielbuda.ro/ro/primapagina/,,
4267,Udo Bullmann,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,,,,,udo.bullmann@europarl.europa.eu,,,
197440,Delara Burkhardt,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,,,,,,,,
197434,Martin Buschmann,Germany,Non-attached Members,Independent,buschmannmartin,Tierschutzabgeordneter,,,martin.buschmann@europarl.europa.eu,,,
38420,Cristian-Silviu Buşoi,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,,profile.php?id=1536380222,cristi.busoi,,cristiansilviu.busoi@europarl.europa.eu,http://www.cristianbusoi.eu/,,
96739,Reinhard Bütikofer,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,,,,,reinhard.buetikofer@europarl.europa.eu,,,
197829,Jorge Buxadé Villalba,Spain,European Conservatives and Reformists Group,VOX,,,,,,,,
28269,Jerzy Buzek,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,,,,,,,,
197617,Carlo Calenda,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Azione,,,,,carlo.calenda@europarl.europa.eu,,,
35016,Marco Campomenosi,Italy,Identity and Democracy Group,Lega,mcampomenosi?lang=en,marco.campomenosi,,,marco.campomenosi@europarl.europa.eu,https://www.instagram.com/campomenosimarco/?hl=en,,
126644,Jordi Cañas,Spain,Renew Europe Group,Ciudadanos – Partido de la Ciudadanía,,,,,,,,
96711,Pascal Canfin,France,Renew Europe Group,Liste Renaissance,,,,,,,,
197574,Damien Carême,France,Group of the Greens/European Free Alliance,Europe Écologie,,,,,,,,
197797,Andrea Caroppo,Italy,Group of the European People's Party (Christian Democrats),Sud in Testa,caroppo_andrea,AndreaCaroppoOfficial,,,andrea.caroppo@europarl.europa.eu,https://www.andreacaroppo.it/,,
199996,Isabel Carvalhais,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista,,,,,,,,
96867,Maria Da Graça Carvalho,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata,mgracacarvalho,mgracacarvalhopt,margracacarvalho,,maria.carvalho@europarl.europa.eu,http://www.gracacarvalho.eu/,,
28122,David Casa,Malta,Group of the European People's Party (Christian Democrats),Partit Nazzjonalista,,,,,,,,
197796,Massimo Casanova,Italy,Identity and Democracy Group,Lega,,,,,massimo.casanova@europarl.europa.eu,,,
28219,Daniel Caspary,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,caspary,daniel.caspary.mdep,dcaspary,be.daniel-caspary,daniel.caspary@europarl.europa.eu,http://www.caspary.de,,
124812,Fabio Massimo Castaldo,Italy,Non-attached Members,Movimento 5 Stelle,FMCastaldo,FabioMassimoCastaldo,,,fabiomassimo.castaldo@europarl.europa.eu,http://www.fabiomassimocastaldo.it/,,
28390,Pilar Del Castillo Vera,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,,,,,,,,
86793,Anna Cavazzini,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,,,,,,,,
197786,Susanna Ceccardi,Italy,Identity and Democracy Group,Lega,,Susannaceccardi87,,,susanna.ceccardi@europarl.europa.eu,,,
197641,Sara Cerdas,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista,,,,,,,,
197505,Catherine Chabaud,France,Renew Europe Group,Mouvement Démocrate,,,,,,,,
197782,Mohammed Chahim,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partij van de Arbeid,,,,,,,,
197529,Leila Chaibi,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise,,,,,,,,
124708,Dita Charanzová,Czechia,Renew Europe Group,ANO 2011,,,,,dita.charanzova@europarl.europa.eu,,,
197463,Olivier Chastel,Belgium,Renew Europe Group,Mouvement Réformateur,,,,,,,,
124861,Caterina Chinnici,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,CaterinaChinnic,CaterinaChinnic,,,caterina.chinnici@europarl.europa.eu,,,
197558,Asger Christensen,Denmark,Renew Europe Group,"Venstre, Danmarks Liberale Parti",,,,,asger.christensen@europarl.europa.eu,,,
26837,Lefteris Christoforou,Cyprus,Group of the European People's Party (Christian Democrats),Democratic Rally,LefChristoforou,ChristoforouLefteris,lefteris.christoforou,,lefteris.christoforou@europarl.europa.eu,https://insta-stalker.com/profile/lefteris.christoforou/,,
204416,Ilana Cicurel,France,Renew Europe Group,Liste Renaissance,,,,,,,,
197507,Włodzimierz Cimoszewicz,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sojusz Lewicy Demokratycznej - Unia Pracy,,wlodzimierz.cimoszewicz.9,,,wlodzimierz.cimoszewicz@europarl.europa.eu,,,
183793,Angelo Ciocca,Italy,Identity and Democracy Group,Lega,,,,,angelo.ciocca@europarl.europa.eu,,,
197631,Dacian Cioloş,Romania,Renew Europe Group,"Partidul Libertate, Unitate și Solidaritate",,,,,dacian.ciolos@europarl.europa.eu,,,
197657,Tudor Ciuhodaru,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,,TudorCiuhodaru,,,tudor.ciuhodaru@europarl.europa.eu,,,
197761,Miroslav Číž,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,SMER-Sociálna demokracia,,,,,miroslav.ciz@europarl.europa.eu,,,
124988,Deirdre Clune,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael Party,deirdreclunemep,deirdreclunemep,deirdreclunemep,,deirdre.clune@europarl.europa.eu,http://www.deirdreclune.ie/,,
197536,Nathalie Colin-Oesterlé,France,Group of the European People's Party (Christian Democrats),Les centristes,ncolin_oesterle,Nathalie-Colin-Oesterlé-128918249901,nco.metz,,nathalie.colin-oesterle@europarl.europa.eu,https://ncometz.com/,,
197683,Gilbert Collard,France,Identity and Democracy Group,Rassemblement national,GilbertCollard,fr-fr.collard.officiel,gilbert_collard,,gilbert.collard@europarl.europa.eu,,,
202352,Antoni Comín I Oliveres,Spain,Non-attached Members,Junts per Catalunya - Lliures per Europa,toni_comin,,,,antoni.cominioliveres@europarl.europa.eu,,,
197616,Rosanna Conte,Italy,Identity and Democracy Group,Lega,rosannaconte_?lang=en,RosannaConte.Lega,rosannaconte.lega?hl=en,,rosanna.conte@europarl.europa.eu,https://www.instagram.com/rosannaconte.lega/,,
197503,David Cormand,France,Group of the Greens/European Free Alliance,Europe Écologie,DavidCormand,david.cormand,,,david.cormand@europarl.europa.eu,https://www.davidcormand.fr/,,
124856,Ignazio Corrao,Italy,Group of the Greens/European Free Alliance,Independent,ignaziocorrao,CorraoM5S,ignaziocorrao,,ignazio.corrao@europarl.europa.eu,,,
96880,Andrea Cozzolino,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,cozzolino62,cozzolinoandrea,,,andrea.cozzolino@europarl.europa.eu,http://www.andreacozzolino.eu,,
33997,Corina Crețu,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,PRO Romania,,,,,corina.cretu@europarl.europa.eu,,,
197588,Katalin Cseh,Hungary,Renew Europe Group,Momentum,,,,,,,,
197654,Ciarán Cuffe,Ireland,Group of the Greens/European Free Alliance,Green Party,ciarancuffe,ciarancuffedublin,ciarancuffe,ie.ciarancuffe,ciaran.cuffe@europarl.europa.eu,http://www.ciarancuffe.ie,,
197394,Josianne Cutajar,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,,,,,,,,
28372,Ryszard Czarnecki,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,r_czarnecki,rysz.czarnecki,ryszard.czarnecki.europosel,,ryszard.czarnecki@europarl.europa.eu,http://www.ryszardczarnecki.pl,,
96809,Peter Van Dalen,Netherlands,Group of the European People's Party (Christian Democrats),ChristenUnie,petervdalen,#!profile.php?id=100001635525936,petervdalen,,peter.vandalen@europarl.europa.eu,http://www.petervandalen.eu,,
183338,Jakop G. Dalunde,Sweden,Group of the Greens/European Free Alliance,Miljöpartiet de gröna,jakopdalunde?,jakopdalundeMEP,jakopdalunde,,jakop.dalunde@europarl.europa]tod[eu :otliam.eu,,,
197731,Clare Daly,Ireland,The Left group in the European Parliament - GUE/NGL,Independents for change,,,,,clare.daly@europarl.europa.eu,,,
124835,Rosa D'Amato,Italy,Group of the Greens/European Free Alliance,Independent,,,,,,,,
38542,Johan Danielsson,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna,,,,,johan.danielsson@europarl.europa.eu,,,
96747,Arnaud Danjean,France,Group of the European People's Party (Christian Democrats),Les Républicains,,,,,,,,
124821,Nicola Danti,Italy,Renew Europe Group,Italia Viva,,,,,,,,
197608,Gianantonio Da Re,Italy,Identity and Democracy Group,Lega,,,,,gianantonio.dare@europarl.europa.eu,,,
197556,Ivan David,Czechia,Identity and Democracy Group,Svoboda a přímá demokracie,,,,,ivan.david@europarl.europa.eu,http://www.novarepublika.cz,,
204414,Margarita De La Pisa Carrión,Spain,European Conservatives and Reformists Group,VOX,,,,,margarita.delapisa@europarl.europa.eu,,,
204333,Salvatore De Meo,Italy,Group of the European People's Party (Christian Democrats),Forza Italia,,,,,,,,
96891,Paolo De Castro,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,,,,,,,,
197504,Jérémy Decerle,France,Renew Europe Group,Liste Renaissance,,,,,jeremy.decerle@europarl.europa.eu,,,
197531,Gwendoline Delbos-Corfield,France,Group of the Greens/European Free Alliance,Europe Écologie,,,,,,,,
124714,Andor Deli,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,andordeli,deliandor,,,andor.deli@europarl.europa.eu,http://deli.fidesz-eu.hu,,
96868,Karima Delli,France,Group of the Greens/European Free Alliance,Europe Écologie,KarimaDelli,karima.delli#!karima.delli?sk=wall,,,karima.delli@europarl.europa.eu,http://www.karimadelli.com/,,
197472,Filip De Man,Belgium,Identity and Democracy Group,Vlaams Belang,,,,,filip.deman@europarl.europa.eu,,,
197468,Özlem Demirel,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.,,,,,,,,
197453,Anna Deparnay-Grunenberg,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,,,,,anna.deparnay-grunenberg@europarl.europa.eu,http://deparnay-grunenberg.eu,,
96826,Tamás Deutsch,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,dajcstomi,peopleDeutsch-Tamás100000694338124,dajcstomi,,tamas.deutsch@europarl.europa.eu,http://deutsch.fidesz-eu.hu/,,
190774,Geoffroy Didier,France,Group of the European People's Party (Christian Democrats),Les Républicains,,,,,,,,
124709,Martina Dlabajová,Czechia,Renew Europe Group,ANO 2011,,,,,,,,
197579,Klára Dobrev,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Demokratikus Koalíció,,dobrevklara,,,klara.dobrev@europarl.europa.eu,,,
197473,Christian Doleschal,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.,doleschal,doleschalchristian,herr_dole,de.christian-doleschal-1b56b5199,christian.doleschal@europarl.europa.eu,http://christian-doleschal.de/,,
197595,Anna Júlia Donáth,Hungary,Renew Europe Group,Momentum,donath_anna,business.donathannajulia.momentum,donathannajulia,,anna.donath@europarl.europa.eu,,,
197822,Francesca Donato,Italy,Identity and Democracy Group,Lega,ladyonorato,ladyonorato,,,francesca.donato@europarl.europa.eu,,,
96787,Herbert Dorfmann,Italy,Group of the European People's Party (Christian Democrats),Südtiroler Volkspartei,HerbertDorfmann,herbert.dorfmann,,,herbert.dorfmann@europarl.europa.eu,,,
197614,Marco Dreosto,Italy,Identity and Democracy Group,Lega,,,,,,,,
